https://sebastianraschka.com/blog/2016/model-evaluation-selection-part3.html,Model evaluation, model selection, and algorithm selection in machine learning
https://twitter.com/tmartinNYC/status/784081332569866240,Timothy Martin on Twitter: "Animated #dataviz of K Means clustering iterations #visualized https://t.co/x0Btv2S8cB"
https://twitter.com/alexjc/status/778856993046102016,Alex J. Champandard on Twitter: "Animated visualizations of convolution operations used in deep learning. https://t.co/hTLtk7dviW (via /r/MachineLearning) https://t.co/5eua5D0sIM"
https://github.com/vdumoulin/conv_arithmetic,vdumoulin/conv_arithmetic: A technical report on convolution arithmetic in the context of deep learning
http://www.asimovinstitute.org/neural-network-zoo/,The Neural Network Zoo - The Asimov Institute
https://twitter.com/S_Gehrmann/status/747412506122010624,Sebastian Gehrmann on Twitter: "We just released our Vis Tool for neural networks, LSTMVis: https://t.co/qO0ynMgbqo (paper https://t.co/YeKy0dGbSG), by @harvardnlp"
http://lstm.seas.harvard.edu/,LSTMVis
https://arxiv.org/abs/1606.07461,[1606.07461] Visual Analysis of Hidden State Dynamics in Recurrent Neural Networks
http://scs.ryerson.ca/~aharley/vis/conv/
http://arogozhnikov.github.io/2016/07/05/gradient_boosting_playground.html,Gradient Boosting Interactive Playground
http://arogozhnikov.github.io/2016/07/05/gradient_boosting_playground.html,Gradient Boosting Interactive Playground
https://arogozhnikov.github.io/2016/06/24/gradient_boosting_explained.html,Gradient Boosting explained [demonstration]
https://twitter.com/mf_viz/status/755216258778488832,Mike Freeman on Twitter: "Attempted visual explanation of the central limit theorem, built with #d3js and #reactjs: https://t.co/Tb7Adeln36 https://t.co/ttwDe6BB9y"
http://mfviz.com/central-limit/,Central Limit Theorem
